04-26 13:04:42.158  9219  9236 I RLT     : +1773ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=49 fd_count=116 | thread=binder:9219_1
04-26 13:04:42.159  9219  9236 I RLT     : +1774ms [STATE] S26 attachSurface: 800x600 attach=50 fd_count=116 remote_pid=9186 | thread=binder:9219_1
04-26 13:04:42.180  9186  9186 I RLT     : +2137ms [LIFECYCLE] S26 surfaceChanged: 960x540 format=1 | thread=main
04-26 13:04:42.182  9219  9236 I RLT     : +1797ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=50 fd_count=116 | thread=binder:9219_1
04-26 13:04:42.183  9219  9236 I RLT     : +1798ms [STATE] S26 attachSurface: 960x540 attach=51 fd_count=116 remote_pid=9186 | thread=binder:9219_1
04-26 13:04:42.215  9186  9186 I RLT     : +2172ms [LIFECYCLE] S26 surfaceChanged: 1024x768 format=1 | thread=main
04-26 13:04:42.219  9219  9267 I RLT     : +1834ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=51 fd_count=116 | thread=binder:9219_4
04-26 13:04:42.220  9219  9267 I RLT     : +1835ms [STATE] S26 attachSurface: 1024x768 attach=52 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:42.247  9186  9186 I RLT     : +2205ms [LIFECYCLE] S26 surfaceChanged: 1280x720 format=1 | thread=main
04-26 13:04:42.251  9219  9236 I RLT     : +1866ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=52 fd_count=116 | thread=binder:9219_1
04-26 13:04:42.252  9219  9236 I RLT     : +1867ms [STATE] S26 attachSurface: 1280x720 attach=53 fd_count=116 remote_pid=9186 | thread=binder:9219_1
04-26 13:04:42.281  9186  9186 I RLT     : +2239ms [LIFECYCLE] S26 surfaceChanged: 720x1280 format=1 | thread=main
04-26 13:04:42.286  9219  9267 I RLT     : +1900ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=53 fd_count=116 | thread=binder:9219_4
04-26 13:04:42.287  9219  9267 I RLT     : +1902ms [STATE] S26 attachSurface: 720x1280 attach=54 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:42.313  9186  9186 I RLT     : +2271ms [LIFECYCLE] S26 surfaceChanged: 1366x768 format=1 | thread=main
04-26 13:04:42.317  9219  9236 I RLT     : +1931ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=54 fd_count=116 | thread=binder:9219_1
04-26 13:04:42.318  9219  9236 I RLT     : +1933ms [STATE] S26 attachSurface: 1366x768 attach=55 fd_count=116 remote_pid=9186 | thread=binder:9219_1
04-26 13:04:42.338  9186  9186 I RLT     : +2296ms [LIFECYCLE] S26 surfaceChanged: 1600x900 format=1 | thread=main
04-26 13:04:42.341  9219  9267 I RLT     : +1955ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=55 fd_count=116 | thread=binder:9219_4
04-26 13:04:42.341  9219  9267 I RLT     : +1956ms [STATE] S26 attachSurface: 1600x900 attach=56 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:42.373  9186  9186 I RLT     : +2331ms [LIFECYCLE] S26 surfaceChanged: 640x480 format=1 | thread=main
04-26 13:04:42.378  9219  9236 I RLT     : +1993ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=56 fd_count=116 | thread=binder:9219_1
04-26 13:04:42.379  9219  9236 I RLT     : +1994ms [STATE] S26 attachSurface: 640x480 attach=57 fd_count=116 remote_pid=9186 | thread=binder:9219_1
04-26 13:04:42.405  9186  9186 I RLT     : +2363ms [LIFECYCLE] S26 surfaceChanged: 800x600 format=1 | thread=main
04-26 13:04:42.408  9219  9273 I RLT     : +2022ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=57 fd_count=116 | thread=binder:9219_5
04-26 13:04:42.408  9219  9273 I RLT     : +2023ms [STATE] S26 attachSurface: 800x600 attach=58 fd_count=116 remote_pid=9186 | thread=binder:9219_5
04-26 13:04:42.430  9186  9186 I RLT     : +2388ms [LIFECYCLE] S26 surfaceChanged: 960x540 format=1 | thread=main
04-26 13:04:42.432  9219  9236 I RLT     : +2047ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=58 fd_count=116 | thread=binder:9219_1
